DairyProduct_PackagingType,Quantity_Value,DairyProduct_IsInfantNutrition,SubBrandRu,Mass_Net,DairyProduct_ManufacturerTaxIdentifier,DairyProduct_IsUnderVeterinaryControl,DairyProduct_IsShelfLifeUpTo40Days,EnergyValueKJ,Manufacturer_Name,Provider_Name,Mass_Gross,GpcClass1,TnvedCode,Provider_GLN,GpcClass2,StorageConditions_ShelfLifeUnit,GpcClass3,DairyProduct_LabelName,EnergyValueKcal,AdditionalInfoRu,DairyProduct_ProteinContent,DairyProduct_FatContent,DairyProduct_PackagingMaterial,DairyProduct_ManufacturerCountry,Carbohydrates,DairyProduct_RawMaterialOrigin,StorageConditions_MaxRelativeHumidity,DairyProduct_IsMedicalOrSpecialDiet,StorageConditions_ShelfLife,DairyProduct_Type,StorageConditions_MaxStorageTemperature,BrandRu,FunctionNameRu,Protein,StorageConditions_MinStorageTemperature,GTIN,GpcClass4,StorageConditions_MinRelativeHumidity,Grease,Manufacturer_GLN,Quantity_Unit,ProductType
ПАКЕТ,1029,False,Ягодное,995,123456789,True,False,245.09,Слуцкий СК,Слуцкий СК,1029,50000000,0401 20 110 9,4810000000002,50130000,D,50131700,"ММЗ №1 Ягодное Творог пастеризованное, массовая доля жира 1.72 %, полиэтиленовая пленка",65.57,Эксплуатация популярных интернет-продавцов,4.51,1.72,ПЛАСТМАССА,112,1.63,КОРОВА,73,False,24,Творог,15,ММЗ №1,Творог,2.84,7,481915923880769,10000025,45,1.25,4810000000002,GR,Consumer unit [CU]
ПАКЕТ,1347,False,Детское,1308,123456789,True,False,376.97,Молочные горки,Молочные горки,1347,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Туровский Детское Сметана пастеризованное, массовая доля жира 4.61 %, полиэтиленовая пленка",89.59,Синтез активных интернет-продавцов,3.94,4.61,ПЛАСТМАССА,112,5.37,КОРОВА,86,False,18,Сметана,11,Туровский,Сметана,2.36,1,481602457427247,10000025,17,4.43,4810000000017,GR,Consumer unit [CU]
ПАКЕТ,1282,False,Премиум,1266,123456789,True,False,348.2,ММЗ №1,ММЗ №1,1282,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Лидский Премиум Глазированные сырки пастеризованное, массовая доля жира 3.41 %, полиэтиленовая пленка",83.87,Шкалирование мультимедийных результатов,2.09,3.41,ПЛАСТМАССА,112,2.82,КОРОВА,59,False,13,Глазированные сырки,19,Лидский,Глазированные сырки,1.58,10,481357771904487,10000025,9,3.75,4810000000006,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1712,False,Классическое,1696,123456789,False,False,283.16,Молочные горки,Молочные горки,1712,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Слуцкий Классическое Творог пастеризованное, массовая доля жира 2.45 %, полиэтиленовая пленка",81.64,Визуализация стратегических интернет-продавцов,1.86,2.45,ПЛАСТМАССА,112,1.14,КОРОВА,81,False,28,Творог,11,Слуцкий,Творог,2.65,5,481316344413384,10000025,45,4.51,4810000000017,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1637,False,Классическое,1600,123456789,True,False,353.8,Молочные горки,Молочные горки,1637,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Слуцкий Классическое Творог пастеризованное, массовая доля жира 4.08 %, полиэтиленовая пленка",40.09,Сравнение прозрачных парадигм,1.65,4.08,ПЛАСТМАССА,112,2.26,КОРОВА,92,False,27,Творог,14,Слуцкий,Творог,1.61,10,481930982795989,10000025,0,1.46,4810000000017,GR,Consumer unit [CU]
БУТЫЛКА,1365,False,Фермерское,1328,123456789,True,False,326.73,Молочный Мир,Молочный Мир,1365,50000000,0401 20 110 9,4810000000004,50130000,D,50131700,"Верхнедвинский Фермерское Простокваша пастеризованное, массовая доля жира 3.61 %, полиэтиленовая пленка",81.57,Ускорение сетевых интернет-продавцов,3.55,3.61,ПЛАСТМАССА,112,2.9,КОРОВА,68,False,17,Простокваша,16,Верхнедвинский,Простокваша,4.42,3,481393982858991,10000025,42,3.23,4810000000004,ML,Consumer unit [CU]
БУТЫЛКА,1722,False,Детское,1702,123456789,False,False,320.63,Несвижский завод детского питания,Несвижский завод детского питания,1722,50000000,0401 20 110 9,4810000000016,50130000,D,50131700,"Пружанский Детское Простокваша пастеризованное, массовая доля жира 4.54 %, полиэтиленовая пленка",40.92,Монетизация интуитивных инфраструктур,1.03,4.54,ПЛАСТМАССА,112,1.31,КОРОВА,58,False,24,Простокваша,14,Пружанский,Простокваша,1.73,9,481743266473490,10000025,24,1.2,4810000000016,ML,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1509,False,Классическое,1487,123456789,False,False,362.21,ММЗ №1,ММЗ №1,1509,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Коровкино Классическое Масло пастеризованное, массовая доля жира 3.43 %, полиэтиленовая пленка",60.93,Шкалирование глобальных парадигм,2.21,3.43,ПЛАСТМАССА,112,5.12,КОРОВА,54,False,12,Масло,20,Коровкино,Масло,2.71,1,481932979741384,10000025,43,4.79,4810000000006,GR,Consumer unit [CU]
ПАКЕТ,1672,False,Натуральное,1648,123456789,False,False,317.65,Молочные горки,Молочные горки,1672,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"ММЗ №1 Натуральное Сыр пастеризованное, массовая доля жира 3.28 %, полиэтиленовая пленка",54.05,Внедрение прозрачных знаний,1.0,3.28,ПЛАСТМАССА,112,2.18,КОРОВА,81,False,9,Сыр,12,ММЗ №1,Сыр,3.2,5,481488647829932,10000025,10,2.86,4810000000017,GR,Consumer unit [CU]
БУТЫЛКА,1220,False,Сырое,1195,123456789,True,False,231.05,Беллакт,Беллакт,1220,50000000,0401 20 110 9,4810000000008,50130000,D,50131700,"ММЗ №1 Сырое Молоко пастеризованное, массовая доля жира 3.93 %, полиэтиленовая пленка",72.17,Распределение B2B интернет-услуг,4.43,3.93,ПЛАСТМАССА,112,6.0,КОРОВА,61,False,2,Молоко,15,ММЗ №1,Молоко,1.88,10,481381942529525,10000025,1,1.59,4810000000008,ML,Consumer unit [CU]
ПАКЕТ,1091,False,Свежее,1074,123456789,False,False,393.31,Глубокский МКК,Глубокский МКК,1091,50000000,0401 20 110 9,4810000000014,50130000,D,50131700,"Здравушка-милк Свежее Глазированные сырки пастеризованное, массовая доля жира 1.88 %, полиэтиленовая пленка",80.6,Эксплуатация передовых результатов,1.69,1.88,ПЛАСТМАССА,112,7.98,КОРОВА,93,False,19,Глазированные сырки,20,Здравушка-милк,Глазированные сырки,2.42,0,481768201912117,10000025,23,4.47,4810000000014,GR,Consumer unit [CU]
ПАКЕТ,1202,False,Ягодное,1166,123456789,False,False,277.89,Несвижский завод детского питания,Несвижский завод детского питания,1202,50000000,0401 20 110 9,4810000000016,50130000,D,50131700,"Несвижский Ягодное Молоко пастеризованное, массовая доля жира 4.21 %, полиэтиленовая пленка",78.58,Освоение революционных партнерств,3.69,4.21,ПЛАСТМАССА,112,4.88,КОРОВА,95,False,18,Молоко,14,Несвижский,Молоко,2.44,4,481677826463133,10000025,22,1.82,4810000000016,ML,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1234,False,Классическое,1219,123456789,True,False,296.69,Беллакт,Беллакт,1234,50000000,0401 20 110 9,4810000000008,50130000,D,50131700,"Молочные горки Классическое Сыр пастеризованное, массовая доля жира 3.19 %, полиэтиленовая пленка",88.03,Переопределение инновационных инициатив,1.71,3.19,ПЛАСТМАССА,112,6.43,КОРОВА,91,False,14,Сыр,20,Молочные горки,Сыр,4.61,5,481967628071549,10000025,26,3.13,4810000000008,GR,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1607,False,Творожное,1570,123456789,False,False,168.43,Верхнедвинский МСЗ,Верхнедвинский МСЗ,1607,50000000,0401 20 110 9,4810000000020,50130000,D,50131700,"Глубокский Творожное Йогурт пастеризованное, массовая доля жира 1.8 %, полиэтиленовая пленка",93.07,Разработка ультрасовременных схем,4.32,1.8,ПЛАСТМАССА,112,6.44,КОРОВА,53,False,2,Йогурт,18,Глубокский,Йогурт,3.21,2,481197491930968,10000025,36,1.94,4810000000020,GR,Consumer unit [CU]
ПАКЕТ,1840,False,Пробиотик,1819,123456789,True,False,397.73,Беллакт,Беллакт,1840,50000000,0401 20 110 9,4810000000008,50130000,D,50131700,"Молодечненский Пробиотик Творог пастеризованное, массовая доля жира 3.1 %, полиэтиленовая пленка",99.89,Включение критически важных веб-сервисов,3.56,3.1,ПЛАСТМАССА,112,9.44,КОРОВА,90,False,21,Творог,20,Молодечненский,Творог,1.3,2,481625729091751,10000025,42,4.26,4810000000008,GR,Consumer unit [CU]
ПАКЕТ,1987,False,Фермерское,1961,123456789,False,False,324.51,Туровский МК,Туровский МК,1987,50000000,0401 20 110 9,4810000000009,50130000,D,50131700,"Кобринский Фермерское Кефир пастеризованное, массовая доля жира 3.32 %, полиэтиленовая пленка",55.59,Включение динамичных архитектур,4.02,3.32,ПЛАСТМАССА,112,8.54,КОРОВА,64,True,27,Кефир,14,Кобринский,Кефир,3.75,3,481507152464324,10000025,16,2.8,4810000000009,ML,Consumer unit [CU]
ПАКЕТ,1698,False,Сырое,1673,123456789,True,False,324.82,Пружанский МЗ,Пружанский МЗ,1698,50000000,0401 20 110 9,4810000000018,50130000,D,50131700,"Пружанский Сырое Сметана пастеризованное, массовая доля жира 3.2 %, полиэтиленовая пленка",56.66,Использование круглосуточных отношений,1.01,3.2,ПЛАСТМАССА,112,4.72,КОРОВА,89,False,13,Сметана,11,Пружанский,Сметана,1.58,0,481741551685173,10000025,40,4.19,4810000000018,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1612,False,Легкое,1582,123456789,True,False,318.16,Савушкин продукт,Савушкин продукт,1612,50000000,0401 20 110 9,4810000000001,50130000,D,50131700,"Милкавита Легкое Сыр пастеризованное, массовая доля жира 3.94 %, полиэтиленовая пленка",67.32,Инновация заказных систем снабжения,4.5,3.94,ПЛАСТМАССА,112,2.27,КОРОВА,73,False,22,Сыр,10,Милкавита,Сыр,1.19,4,481954352811106,10000025,18,2.05,4810000000001,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1849,False,Экстра,1828,123456789,True,False,345.75,Несвижский завод детского питания,Несвижский завод детского питания,1849,50000000,0401 20 110 9,4810000000016,50130000,D,50131700,"Коровкино Экстра Сыр пастеризованное, массовая доля жира 3.29 %, полиэтиленовая пленка",52.6,Мотивация распределённых систем,2.62,3.29,ПЛАСТМАССА,112,7.1,КОРОВА,69,False,27,Сыр,15,Коровкино,Сыр,3.5,7,481134430440459,10000025,47,2.32,4810000000016,GR,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1916,False,Сырое,1882,123456789,True,False,228.81,Здравушка-милк,Здравушка-милк,1916,50000000,0401 20 110 9,4810000000011,50130000,D,50131700,"Несвижский Сырое Йогурт пастеризованное, массовая доля жира 4.17 %, полиэтиленовая пленка",65.94,Распределение масштабируемых пользователей,1.41,4.17,ПЛАСТМАССА,112,5.54,КОРОВА,97,False,29,Йогурт,14,Несвижский,Йогурт,1.03,5,481473555940430,10000025,18,4.65,4810000000011,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1775,False,Легкое,1753,123456789,True,False,237.82,Милкавита,Милкавита,1775,50000000,0401 20 110 9,4810000000010,50130000,D,50131700,"Пружанский Легкое Глазированные сырки пастеризованное, массовая доля жира 3.47 %, полиэтиленовая пленка",73.82,Переход интуитивных пользователей,3.81,3.47,ПЛАСТМАССА,112,8.71,КОРОВА,94,False,9,Глазированные сырки,11,Пружанский,Глазированные сырки,2.04,2,481992306609622,10000025,32,4.84,4810000000010,GR,Consumer unit [CU]
БУТЫЛКА,1987,False,Натуральное,1962,123456789,False,False,150.96,Верхнедвинский МСЗ,Верхнедвинский МСЗ,1987,50000000,0401 20 110 9,4810000000020,50130000,D,50131700,"ММЗ №1 Натуральное Кефир пастеризованное, массовая доля жира 4.57 %, полиэтиленовая пленка",97.83,Мотивация ультрасовременных инфраструктур,1.74,4.57,ПЛАСТМАССА,112,1.38,КОРОВА,86,False,2,Кефир,20,ММЗ №1,Кефир,1.97,8,481424204582344,10000025,23,2.94,4810000000020,ML,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1430,False,Классическое,1408,123456789,False,False,395.36,Рогачевский МКК,Рогачевский МКК,1430,50000000,0401 20 110 9,4810000000007,50130000,D,50131700,"Верхнедвинский Классическое Йогурт пастеризованное, массовая доля жира 3.29 %, полиэтиленовая пленка",94.08,Инновация передовых результатов,1.82,3.29,ПЛАСТМАССА,112,3.55,КОРОВА,91,False,16,Йогурт,11,Верхнедвинский,Йогурт,3.49,8,481792282810706,10000025,39,3.33,4810000000007,GR,Consumer unit [CU]
БУТЫЛКА,1978,False,Свежее,1938,123456789,True,False,282.4,Пружанский МЗ,Пружанский МЗ,1978,50000000,0401 20 110 9,4810000000018,50130000,D,50131700,"Беллакт Свежее Кефир пастеризованное, массовая доля жира 3.48 %, полиэтиленовая пленка",83.25,Интеграция прибыльных интерфейсов,3.94,3.48,ПЛАСТМАССА,112,4.23,КОРОВА,91,False,10,Кефир,17,Беллакт,Кефир,4.87,6,481946076711130,10000025,9,2.69,4810000000018,ML,Consumer unit [CU]
ПАКЕТ,1983,False,Свежее,1957,123456789,False,False,175.28,Беллакт,Беллакт,1983,50000000,0401 20 110 9,4810000000008,50130000,D,50131700,"Здравушка-милк Свежее Кефир пастеризованное, массовая доля жира 4.24 %, полиэтиленовая пленка",77.67,Включение безотказных схем,2.07,4.24,ПЛАСТМАССА,112,8.87,КОРОВА,89,False,8,Кефир,19,Здравушка-милк,Кефир,1.8,9,481957400823550,10000025,29,1.3,4810000000008,ML,Consumer unit [CU]
ПАКЕТ,1684,False,Детское,1657,123456789,True,False,175.88,ММЗ №1,ММЗ №1,1684,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Туровский Детское Глазированные сырки пастеризованное, массовая доля жира 3.45 %, полиэтиленовая пленка",60.59,Адаптация ультрасовременных взаимодействий,3.43,3.45,ПЛАСТМАССА,112,2.97,КОРОВА,68,False,1,Глазированные сырки,14,Туровский,Глазированные сырки,4.74,3,481451083638101,10000025,10,1.85,4810000000006,GR,Consumer unit [CU]
ПАКЕТ,1323,False,Детское,1293,123456789,False,False,299.99,Молодечненский МК,Молодечненский МК,1323,50000000,0401 20 110 9,4810000000015,50130000,D,50131700,"Верхнедвинский Детское Масло пастеризованное, массовая доля жира 1.02 %, полиэтиленовая пленка",58.7,Трансформация круглогодичных интернет-услуг,1.34,1.02,ПЛАСТМАССА,112,3.51,КОРОВА,90,False,7,Масло,19,Верхнедвинский,Масло,3.01,8,481821702186391,10000025,18,2.81,4810000000015,GR,Consumer unit [CU]
БУТЫЛКА,2014,False,Йогуртовое,1997,123456789,False,False,269.43,Туровский МК,Туровский МК,2014,50000000,0401 20 110 9,4810000000009,50130000,D,50131700,"Молочный Мир Йогуртовое Простокваша пастеризованное, массовая доля жира 3.91 %, полиэтиленовая пленка",54.79,Переопределение круглосуточных инфопосредников,2.28,3.91,ПЛАСТМАССА,112,3.23,КОРОВА,57,False,27,Простокваша,17,Молочный Мир,Простокваша,1.68,3,481552224240559,10000025,41,2.38,4810000000009,ML,Consumer unit [CU]
ПАКЕТ,1660,False,Пробиотик,1637,123456789,True,False,379.54,Молодечненский МК,Молодечненский МК,1660,50000000,0401 20 110 9,4810000000015,50130000,D,50131700,"Несвижский Пробиотик Масло пастеризованное, массовая доля жира 4.51 %, полиэтиленовая пленка",85.16,Разворачивание интегрированных парадигм,1.9,4.51,ПЛАСТМАССА,112,4.27,КОРОВА,57,False,27,Масло,16,Несвижский,Масло,3.98,3,481780468190346,10000025,25,1.48,4810000000015,GR,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1921,False,Здоровое,1899,123456789,True,True,283.67,Савушкин продукт,Савушкин продукт,1921,50000000,0401 20 110 9,4810000000001,50130000,D,50131700,"Молочные горки Здоровое Йогурт пастеризованное, массовая доля жира 3.39 %, полиэтиленовая пленка",73.86,Генерация открытых функций,4.9,3.39,ПЛАСТМАССА,112,4.2,КОРОВА,91,False,22,Йогурт,19,Молочные горки,Йогурт,1.15,4,481101113066804,10000025,4,1.11,4810000000001,GR,Consumer unit [CU]
ПАКЕТ,1347,False,Здоровое,1309,123456789,True,False,314.71,Пружанский МЗ,Пружанский МЗ,1347,50000000,0401 20 110 9,4810000000018,50130000,D,50131700,"Туровский Здоровое Кефир пастеризованное, массовая доля жира 1.36 %, полиэтиленовая пленка",71.27,Синтез индивидуальных знаний,1.6,1.36,ПЛАСТМАССА,112,6.86,КОРОВА,73,False,18,Кефир,11,Туровский,Кефир,3.41,3,481587283627099,10000025,14,3.34,4810000000018,ML,Consumer unit [CU]
ПАКЕТ,1484,False,Йогуртовое,1460,123456789,True,False,242.28,Верхнедвинский МСЗ,Верхнедвинский МСЗ,1484,50000000,0401 20 110 9,4810000000020,50130000,D,50131700,"Милкавита Йогуртовое Глазированные сырки пастеризованное, массовая доля жира 2.23 %, полиэтиленовая пленка",62.32,Синхронизация распределённых инфраструктур,2.38,2.23,ПЛАСТМАССА,112,4.94,КОРОВА,90,False,23,Глазированные сырки,15,Милкавита,Глазированные сырки,3.98,8,481647023619049,10000025,43,2.02,4810000000020,GR,Consumer unit [CU]
ПАКЕТ,1363,False,Легкое,1342,123456789,False,False,303.63,Несвижский завод детского питания,Несвижский завод детского питания,1363,50000000,0401 20 110 9,4810000000016,50130000,D,50131700,"Верхнедвинский Легкое Творог пастеризованное, массовая доля жира 1.85 %, полиэтиленовая пленка",74.48,Итерация богатых решений,2.51,1.85,ПЛАСТМАССА,112,5.35,КОРОВА,73,False,4,Творог,10,Верхнедвинский,Творог,2.09,0,481996954914545,10000025,18,2.82,4810000000016,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1264,True,Легкое,1228,123456789,False,False,388.8,Молочные горки,Молочные горки,1264,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Молочные горки Легкое Творог пастеризованное, массовая доля жира 4.91 %, полиэтиленовая пленка",65.27,Обеспечение B2C интернет-услуг,1.74,4.91,ПЛАСТМАССА,112,5.21,КОРОВА,93,False,10,Творог,18,Молочные горки,Творог,2.23,9,481102690711235,10000025,35,2.72,4810000000017,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1737,False,Здоровое,1707,123456789,True,False,238.34,ММЗ №1,ММЗ №1,1737,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Милкавита Здоровое Творог пастеризованное, массовая доля жира 4.31 %, полиэтиленовая пленка",44.44,Модернизация глобальных инициатив,4.2,4.31,ПЛАСТМАССА,112,7.39,КОРОВА,79,False,25,Творог,12,Милкавита,Творог,1.12,6,481494596603918,10000025,44,1.44,4810000000006,GR,Consumer unit [CU]
ПАКЕТ,1412,True,Йогуртовое,1383,123456789,True,False,300.83,Милкавита,Милкавита,1412,50000000,0401 20 110 9,4810000000010,50130000,D,50131700,"Туровский Йогуртовое Сыр пастеризованное, массовая доля жира 1.57 %, полиэтиленовая пленка",81.77,Мотивация прибыльных схем,3.99,1.57,ПЛАСТМАССА,112,9.66,КОРОВА,79,False,11,Сыр,15,Туровский,Сыр,2.83,5,481799463730905,10000025,9,3.97,4810000000010,GR,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1832,False,Молочное,1797,123456789,False,False,274.33,Молочный гостинец,Молочный гостинец,1832,50000000,0401 20 110 9,4810000000019,50130000,D,50131700,"Лидский Молочное Йогурт пастеризованное, массовая доля жира 1.99 %, полиэтиленовая пленка",96.39,Визуализация сенсационных областей интереса,1.39,1.99,ПЛАСТМАССА,112,5.98,КОРОВА,61,False,20,Йогурт,12,Лидский,Йогурт,1.16,4,481734483124336,10000025,29,3.87,4810000000019,GR,Consumer unit [CU]
ПАКЕТ,1810,False,Натуральное,1777,123456789,True,False,180.32,Здравушка-милк,Здравушка-милк,1810,50000000,0401 20 110 9,4810000000011,50130000,D,50131700,"Коровкино Натуральное Глазированные сырки пастеризованное, массовая доля жира 1.5 %, полиэтиленовая пленка",48.69,Управление мультимедийных порталов,1.11,1.5,ПЛАСТМАССА,112,3.18,КОРОВА,81,False,19,Глазированные сырки,10,Коровкино,Глазированные сырки,3.0,1,481751735758557,10000025,15,1.3,4810000000011,GR,Consumer unit [CU]
ПАКЕТ,1933,False,Классическое,1915,123456789,True,True,336.77,Молочные горки,Молочные горки,1933,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Туровский Классическое Сливки пастеризованное, массовая доля жира 4.25 %, полиэтиленовая пленка",75.01,Визуализация концептуальных действий,3.77,4.25,ПЛАСТМАССА,112,4.73,КОРОВА,98,False,8,Сливки,13,Туровский,Сливки,1.13,9,481966178578445,10000025,46,1.23,4810000000017,ML,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1832,False,Молочное,1798,123456789,True,False,230.03,Лидский МКК,Лидский МКК,1832,50000000,0401 20 110 9,4810000000005,50130000,D,50131700,"Туровский Молочное Йогурт пастеризованное, массовая доля жира 4.09 %, полиэтиленовая пленка",55.18,Переход заказных рынков,2.79,4.09,ПЛАСТМАССА,112,8.22,КОРОВА,60,False,20,Йогурт,20,Туровский,Йогурт,3.65,3,481289535502843,10000025,14,1.87,4810000000005,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1862,False,Премиум,1843,123456789,True,False,260.74,Савушкин продукт,Савушкин продукт,1862,50000000,0401 20 110 9,4810000000001,50130000,D,50131700,"Бабушкина крынка Премиум Масло пастеризованное, массовая доля жира 2.06 %, полиэтиленовая пленка",52.72,Освоение совместных ниш,3.03,2.06,ПЛАСТМАССА,112,5.44,КОРОВА,100,False,24,Масло,18,Бабушкина крынка,Масло,1.5,1,481389610816426,10000025,25,1.69,4810000000001,GR,Consumer unit [CU]
ПАКЕТ,1571,False,Премиум,1547,123456789,False,False,272.11,Кобринский МСЗ,Кобринский МСЗ,1571,50000000,0401 20 110 9,4810000000012,50130000,D,50131700,"ММЗ №1 Премиум Сыр пастеризованное, массовая доля жира 3.99 %, полиэтиленовая пленка",87.38,Внедрение B2B систем,4.05,3.99,ПЛАСТМАССА,112,5.81,КОРОВА,96,False,17,Сыр,17,ММЗ №1,Сыр,2.49,9,481599566854559,10000025,26,2.43,4810000000012,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1171,False,Фруктовое,1138,123456789,False,False,262.78,Молочный гостинец,Молочный гостинец,1171,50000000,0401 20 110 9,4810000000019,50130000,D,50131700,"Коровкино Фруктовое Творог пастеризованное, массовая доля жира 1.94 %, полиэтиленовая пленка",59.46,Объединение заказных метрик,2.25,1.94,ПЛАСТМАССА,112,3.03,КОРОВА,77,False,25,Творог,16,Коровкино,Творог,4.63,9,481909213183556,10000025,21,3.09,4810000000019,GR,Consumer unit [CU]
БУТЫЛКА,1812,False,Свежее,1797,123456789,True,False,154.74,Милкавита,Милкавита,1812,50000000,0401 20 110 9,4810000000010,50130000,D,50131700,"Кобринский Свежее Молоко пастеризованное, массовая доля жира 2.12 %, полиэтиленовая пленка",51.27,Включение сенсационных каналов,1.32,2.12,ПЛАСТМАССА,112,9.11,КОРОВА,90,False,14,Молоко,12,Кобринский,Молоко,3.37,1,481930975525018,10000025,24,1.19,4810000000010,ML,Consumer unit [CU]
ПАКЕТ,1993,False,Фитнес,1966,123456789,False,False,158.26,ММЗ №1,ММЗ №1,1993,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Бабушкина крынка Фитнес Сыр пастеризованное, массовая доля жира 3.4 %, полиэтиленовая пленка",48.89,Перепрофилирование сенсационных сетей,3.02,3.4,ПЛАСТМАССА,112,7.31,КОРОВА,50,False,13,Сыр,20,Бабушкина крынка,Сыр,3.62,2,481823214238260,10000025,39,1.91,4810000000006,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1086,False,Творожное,1053,123456789,True,False,384.23,ММЗ №1,ММЗ №1,1086,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Кобринский Творожное Глазированные сырки пастеризованное, массовая доля жира 4.4 %, полиэтиленовая пленка",61.44,Использование современных приложений,4.04,4.4,ПЛАСТМАССА,112,4.21,КОРОВА,61,False,25,Глазированные сырки,11,Кобринский,Глазированные сырки,1.18,4,481291718885487,10000025,9,1.96,4810000000006,GR,Consumer unit [CU]
ПАКЕТ,1221,False,Лактозафри,1206,123456789,False,False,276.31,Милкавита,Милкавита,1221,50000000,0401 20 110 9,4810000000010,50130000,D,50131700,"Слуцкий Лактозафри Сметана пастеризованное, массовая доля жира 1.75 %, полиэтиленовая пленка",81.06,Визуализация динамичных интернет-продавцов,3.53,1.75,ПЛАСТМАССА,112,7.67,КОРОВА,67,False,24,Сметана,10,Слуцкий,Сметана,1.23,7,481652540405612,10000025,2,4.12,4810000000010,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1128,True,Экстра,1111,123456789,False,False,283.23,Молочные горки,Молочные горки,1128,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Беллакт Экстра Масло пастеризованное, массовая доля жира 3.32 %, полиэтиленовая пленка",56.66,Синтез инновационных интернет-компаний,2.58,3.32,ПЛАСТМАССА,112,3.39,КОРОВА,58,False,12,Масло,14,Беллакт,Масло,2.88,0,481249459410893,10000025,44,2.49,4810000000017,GR,Consumer unit [CU]
ПАКЕТ,1933,False,Экстра,1907,123456789,True,False,268.74,Молочные горки,Молочные горки,1933,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Бабушкина крынка Экстра Сметана пастеризованное, массовая доля жира 1.01 %, полиэтиленовая пленка",52.32,Переосмысление ориентированных на пользователя партнерств,4.69,1.01,ПЛАСТМАССА,112,1.38,КОРОВА,96,False,1,Сметана,17,Бабушкина крынка,Сметана,4.94,0,481790969685413,10000025,29,2.59,4810000000017,GR,Consumer unit [CU]
ПАКЕТ,1657,False,Йогуртовое,1637,123456789,True,False,233.62,Калинковичский МК,Калинковичский МК,1657,50000000,0401 20 110 9,4810000000013,50130000,D,50131700,"Коровкино Йогуртовое Сметана пастеризованное, массовая доля жира 3.35 %, полиэтиленовая пленка",76.1,Увеличение инновационных каналов,4.11,3.35,ПЛАСТМАССА,112,6.01,КОРОВА,68,False,17,Сметана,10,Коровкино,Сметана,2.21,1,481738283108089,10000025,29,4.55,4810000000013,GR,Consumer unit [CU]
ПАКЕТ,1991,False,Фруктовое,1955,123456789,False,False,205.87,Молочный Мир,Молочный Мир,1991,50000000,0401 20 110 9,4810000000004,50130000,D,50131700,"Коровкино Фруктовое Молоко пастеризованное, массовая доля жира 2.27 %, полиэтиленовая пленка",65.74,Формирование инновационных интернет-магазинов,3.27,2.27,ПЛАСТМАССА,112,8.98,КОРОВА,55,False,13,Молоко,17,Коровкино,Молоко,2.54,0,481388054203708,10000025,1,4.12,4810000000004,ML,Consumer unit [CU]
